sentence,labels
Onlar yarışırlar.,un un
Mən sevirəm.,un un
O bəyənir.,un un
Siz qiymətləndirirsiniz.,un un
Onlar razılaşırlar.,un un
Mən qoruyuram.,un un
O əsirgəmir.,un un
Siz məhdudlaşdırırsınız.,un un
Onlar buraxırlar.,un un
Mən yaradıram.,un un
O tikir.,un un
Mən dəyişirəm.,un un
Sən saxlayırsan.,un un
O xərcləyir.,un un
Biz yığırıq.,un un
Siz paylayırsınız.,un un
Mən planlayıram.,un un
Sən hazırlayırsan.,un un
Onlar yoxlayırlar.,un un
O gizlədir.,un un
Biz tapırıq.,un un
Siz itirirsiniz.,un un
Onlar araşdırırlar.,un un
O öyrənir.,un un
Biz inanırıq.,un un
Onlar bilirlər.,un un
Mən sevirəm səni.,un un un
O bəyənir bizi.,un un un
"Maraqlı kitab, rəfdə, gözləyir.",ad nn un un
"Yeni maşın, qarajda, parıldayır.",ad nn un un
"Gözəl mənzərə, ürəyimi, oxşayır.",ad nn un un
"Şirin meyvələr, bazarda, satılır.",ad nn un un
"Mənim sevimli kitabım, dostumda qaldı.",un ad nn un un
"Bu, maraqlı bir film, dostlarla izlədik.",un ad un nn un un
"Yeni bir ev, axtarırıq, şəhərin kənarında.",ad un nn un un un
"Onun qırmızı paltarı, çox gözəl görünürdü.",un ad nn un ad un
"Maraqlı bir hekayə, oxuyuram, yatmazdan əvvəl.",ad un nn un un un
"Gözəl bir musiqi, dinləyirəm, sakitcə.",ad un nn un un
"Qədim bir xatirə, canlanır, yaddaşımda.",ad un nn un un
"Bu, ən böyük səhv idi.",un un ad nn un
"Onun ən gözəl xüsusiyyəti, səbridir.",un un ad nn nn
"Bu, ən maraqlı kitabdır.",un un ad nn
"Onun ən yeni layihəsi, çox uğurludur.",un un ad nn un ad
"Bu, ən dərin məna daşıyır.",un un ad nn un
"Bu, ən şirin xatirədir.",un un ad nn
"Maraqlı bir səyahət, planlaşdırırıq, yay üçün.",ad un nn un un un
"Dərin bir sual, məni düşündürür.",ad un nn un un
"Qədim bir əlyazma, tapdım, kitabxanada.",ad un nn un un
"Şirin bir təbəssüm, üzündə, yayıldı.",ad un nn un un
"Mənim sevimli mahnım, radioda səslənir.",un ad nn un un
"O, uzun bir müddət, gözləməli oldu.",un ad un nn un un
"Onun yeni bir işi, var, şirkətdə.",un ad un nn un un
"Yeni bir ümid, yarandı, qəlbimdə.",ad un nn un un
"Şirin bir xəyal, gördüm, yuxuda.",ad un nn un un
"Bu, pis bir vəziyyətdir.",un ad un nn
Onun böyük bir qardaşı var.,un ad un nn un
"Bu, dərin bir yara izidir.",un ad un nn nn
Onun qədim bir kitabı var.,un ad un nn un
"Böyük ev, satılır.",ad nn un
"Maraqlı film, göstərilir.",ad nn un
"Yeni maşın, sürülür.",ad nn un
"Dərin su, axır.",ad nn un
"Qədim qala, dağılır.",ad nn un
"Şirin meyvə, yetişir.",ad nn un
"Uzun yol, bitir.",ad nn un
"Qırmızı gül, solur.",ad nn un
"Sərin hava, əsir.",ad nn un
Siz dərin bir düşüncəyə daldınız.,un ad un nn un
Mən şirin bir yuxu gördüm.,un ad un nn un
Biz yeni bir layihəyə başladıq.,un ad un nn un
Siz maraqlı bir sual verdiniz.,un ad un nn un
Onlar böyük bir uğur qazandılar.,un ad un nn un
Biz şirin bir xəyal qurduq.,un ad un nn un
Siz uzun bir yolda yoruldunuz.,un ad un nn un
Onlar qısa bir cavab aldılar.,un ad un nn un
Mən sərin bir içki içdim.,un ad un nn un
"O, böyük bir hədiyyə aldı.",un ad un nn un
Biz maraqlı bir hekayə dinlədik.,un ad un nn un
Biz uzun bir müddət gözlədik.,un ad un nn un
Biz yeni bir şəhərə köçdük.,un ad un nn un
Biz qısa bir fasilə verdik.,un ad un nn un
Onlar böyük bir orduya sahibdirlər.,un ad un nn un
Mən maraqlı bir təklif aldım.,un ad un nn un
Siz qədim bir mədəniyyəti öyrənirsiniz.,un ad un nn un
Onlar şirin bir xatirə yaratdılar.,un ad un nn un
Mən uzun bir məktub yazdım.,un ad un nn un
"O, qısa bir müsahibə verdi.",un ad un nn un
"O, böyük bir insandır.",un ad un nn
Biz maraqlı bir söhbət etdik.,un ad un nn un
Mən qədim bir rəsm gördüm.,un ad un nn un
Mən böyük bir xəyal görürəm.,un ad un nn un
Biz yeni bir mahnı dinlədik.,un ad un nn un
Onlar qədim bir qalaya getdilər.,un ad un nn un
Mən şirin bir meyvə yedim.,un ad un nn un
"O, uzun bir yola çıxdı.",un ad un nn un
Onlar böyük bir evdə yaşayırlar.,un ad un nn un
Mən maraqlı bir film çəkdim.,un ad un nn un
Siz qədim bir dil öyrənirsiniz.,un ad un nn un
Onlar şirin bir xatirə saxladılar.,un ad un nn un
Siz böyük bir ağac əkdiniz.,un ad un nn un
Onlar maraqlı bir səyahətə çıxdılar.,un ad un nn un
"O, dərin bir təsir bağışladı.",un ad un nn un
Biz qədim bir mədəniyyəti araşdırdıq.,un ad un nn un
Siz şirin bir söz dediniz.,un ad un nn un
"O, sərin bir havada gəzdi.",un ad un nn un
Biz böyük bir dəyişiklik etdik.,un ad un nn un
"Bu, qırmızı alma, çox şirindir!",un ad nn un ad
"Biz, yeni ev tikdik.",un ad nn un
"Onlar, böyük bağ saldılar.",un ad nn un
"Sən, yaxşı rəssamsan.",un ad nn
"Ana, dadlı tort bişirdi.",nn ad nn un
Səma aydın və gözəldir.,nn ad un ad
"Bizim, böyük bir ailəmiz var.",un ad un nn un
"Onlar, dostlarla birlikdə kinoya getdilər.",un nn un nn un
"Sən, ağıllı və çalışqan bir şagirdsən.",un ad un ad un nn
"O, sevimli bir heyvandır.",un ad un nn
"Biz, yeni bir macəraya başlayırıq.",un ad un nn un
"Bu maraqlı kitabdır, lakin oxumaq üçün vaxtım yoxdur.",un ad nn un un un nn un
"Sərin hava, gözəl mənzərə, dincəlmək üçün ideal yerdir!",ad nn ad nn un un un nn
Sən ağıllı tələbəsən.,un ad nn
Biz böyük evdə yaşayırıq.,un ad nn un
Onlar yeni maşın aldılar.,un ad nn un
Dağlar uca və möhtəşəmdir.,nn ad un ad
Şəhər böyük və canlıdır.,nn ad un ad
Mən bacarıqlı bir aşbazam.,un ad un nn
Sən mehriban bir insansan.,un ad un nn
Biz çalışqan tələbələrik.,un ad nn
Hava günəşli və istidir.,nn ad un ad
Dəniz dalğalı və təhlükəlidir.,nn ad un ad
Dağlar dumanlı və sirrlidir.,nn ad un ad
Şəhər səs-küylü və izdihamlıdır.,nn ad un ad
Sən təcrübəli bir sürücüsən.,un ad un nn
Biz güclü bir komandayıq.,un ad un nn
Onlar məsuliyyətli vətəndaşlardır.,un ad nn
Hava dəyişkən və qeyri-müəyyəndir.,nn ad un ad
Dəniz sakit və dincdir.,nn ad un ad
Dağlar təsirli və əzəmətlidir.,nn ad un ad
"O, savadlı bir müəllimdir.",un ad un nn
Sən istedadlı bir rəssamsan.,un ad un nn
Onlar etibarlı tərəfdaşlardır.,un ad nn
Hava rütubətli və boğucudur.,nn ad un ad
Dağlar sıldırımlı və qorxuludur.,nn ad un ad
Şəhər tarixi və mədəniyyətlidir.,nn ad un un
Mən optimist biriyəm.,un ad nn
Sən dürüst bir adamsan.,un ad un nn
Onlar vicdanlı işçilərdir.,un ad nn
Hava küləkli və soyuqdur.,nn ad un ad
Dəniz sakit və kristaldır.,nn ad un nn
Dağlar əzəmətli və heyranedicidir.,nn ad un un
Şəhər çox sürətlə böyüyür.,nn un un un
"O, cazibədar bir qadındır.",un ad un nn
Mən iddialı bir gəncəm.,un ad un nn
Sən bacarıqlı bir ustasan.,un ad un nn
Biz güclü bir dövlətik.,un ad un nn
Onlar mədəniyyətli insanlardır.,un ad nn
Hava qaranlıq və yağışlıdır.,nn ad un ad
"O, müdrik bir rəhbərdir.",un ad un nn
Mən məqsədyönlü biriyəm.,un ad nn
Sən orijinal bir sənətkarsan.,un ad un nn
Onlar mehriban qonşulardır.,un ad nn
"Bu, düşündürücü bir sualdır.",un ad un nn
Hava dumanlı və qeyri-müəyyəndir.,nn ad un ad
Dağlar uzaq və əlçatmazdır.,nn ad un ad
Şəhər sakit və rahatdır.,nn ad un ad
Mən şanslı biriyəm.,un ad nn
Sən həvəsli bir tələbəsən.,un ad un nn
Onlar etibarlı dostlardır.,un ad nn
Hava sərin və təravətlidir.,nn ad un ad
Dəniz mavi və sonsuzdur.,nn ad un ad
Mən ədalətli biriyəm.,un ad nn
Sən yaradıcı bir insansan.,un ad un nn
Onlar dözümlü insanlardır.,un ad nn
Mən əzmli biriyəm.,un ad nn
Sən təşəbbüskar bir insansan.,un ad un nn
"Bu, əlamətdar bir gündür.",un ad un nn
Hava günəşli və açıqdır.,nn ad un ad
Dağlar yüksək və möhtəşəmdir.,nn ad un ad
"Yeni, böyük ev çox bahadır.",ad ad nn un un
Maraqlı kitabxana bilikləri artırır.,ad nn nn un
"Gözəl, qırmızı güllər bağda əkilir.",ad ad nn nn un
"Soyuq, qarlı qış çətinliklər yaradır.",ad ad nn nn un
"Sürətli, qırmızı maşın yolda yarışır.",ad ad nn nn un
"Şirin, sulu meyvə vitaminlərlə zəngindir.",ad ad nn nn un
"Qədim, möhtəşəm qala tarix şahididir.",ad ad nn nn un
"Dərin, sirli göl balıqlarla doludur.",ad ad nn nn un
"Sakit, dinc kənd şəhərdən uzaqdır.",ad ad nn nn un
"Uzun, dar yol kəndə aparır.",ad ad nn nn un
"Məşhur, tarixi abidə turistləri heyrətləndirir.",ad ad nn nn un
"Gözəl, qızılı günəş batması romantikadır.",ad ad nn nn un
"Kiçik, sevimli it uşaqlarla oynayır.",ad ad nn nn un
"Ağıllı, çalışqan tələbə imtahanı keçdi.",ad ad nn nn un
"Sürətli, çevik pişik siçanı tutdu.",ad ad nn nn un
"Gözəl, ətirli gül bağçanı bəzəyir.",ad ad nn nn un
"Sakit, romantik axşam xatirələr yaratdı.",ad ad nn nn un
"Geniş, mavi səma ulduzlarla doludur.",ad ad nn nn un
"Soyuq, şiddətli yağış şəhəri yudu.",ad ad nn nn un
"İsti, yumşaq qum ayaqları isitdi.",ad ad nn nn un
"Sürətli, çevik idmançı yarışı qazandı.",ad ad nn nn un
"Təmiz, şəffaf su susuzluğu yatırdı.",ad ad nn nn un
"Sakit, gözəl göl ətrafı sevindirdi.",ad ad nn nn un
"Uzun, dar tunel qorxutucu idi.",ad ad nn nn un
"Kiçik, sevimli quş pəncərədə oturdu.",ad ad nn nn un
"Ağıllı, bilikli alim mükafat qazandı.",ad ad nn nn un
"Sürətli, güclü külək ağacları əydi.",ad ad nn nn un
"Gözəl, parlaq ulduz gecəni işıqlandırdı.",ad ad nn nn un
"Qədim, dərin quyu susuzluğu yatırırdı.",ad ad nn nn un
"Böyük, möhtəşəm saray ziyarətçiləri heyrətləndirdi.",ad ad nn nn un
"Sakit, romantik musiqi çalındı.",ad ad nn nn
"Geniş, təmiz səma ürəyi sevindirdi.",ad ad nn nn un
"İsti, yumşaq yorğan insanı rahatlatdı.",ad ad nn nn un
"Qədim, dəyərli sənət əsəri muzeydədir.",ad ad nn nn un
"Dərin, sakit dənizdə balıqçılar qayıqla üzür.",ad ad nn un nn un
"Sakit, gözəl mənzərə ürəyi sevindirdi.",ad ad nn nn un
"Uzun, dar körpü çayı keçdi.",ad ad nn nn un
"Məşhur, tarixi şəxsiyyət xatırlanır.",ad ad nn nn
"Gözəl, zərif güllər vazoda dururdu.",ad ad nn nn un
"Kiçik, sevimli heyvan uşaqlarla oynadı.",ad ad nn nn un
"Ağıllı, çalışqan tələbə müvəffəq oldu.",ad ad nn nn un
"Sürətli, çevik atlet qaçışı qazandı.",ad ad nn nn un
"Qədim, gizli yer aşkar edildi.",ad ad nn nn un
"Geniş, mavi səma quşlarla doludur.",ad ad nn nn un
"Soyuq, şiddətli yağış evləri yudu.",ad ad nn nn un
"İsti, yumşaq yataq insanı rahatlatdı.",ad ad nn nn un
"Sürətli, çevik velosiped yolda sürdü.",ad ad nn nn un
"Yüksək, qışqıran səs qorxutdu.",ad ad nn un
"Qədim, qiymətli kitab nadirdir.",ad ad nn ad
"Dərin, sakit dəniz balıqlarla doludur.",ad ad nn nn un
"Sakit, gözəl şəhər sevilir.",ad ad nn un
"Böyük, rahat kreslo oxucunu rahatlatdı.",ad ad nn nn un
"Kiçik, sevimli pişik oynayır.",ad ad nn un
"Ağıllı, çalışqan tələbə müvəffəqiyyət qazandı.",ad ad nn nn nn
"Gözəl, ətirli bağ bağçanı bəzəyir.",ad ad nn nn nn
"Qədim, gizli xəzinə aşkar edildi.",ad ad nn nn nn
"Böyük, güclü maşın yolda sürətlə getdi.",ad ad nn nn un un
"İsti, yumşaq yataq rahatlatdı.",ad ad nn nn
"Sürətli, çevik velosiped sürdü.",ad ad nn nn
"Rahat, geniş yataq istirahət üçündür.",ad ad nn nn nn
"Yüksək, gurultulu səs qorxutdu.",ad ad nn nn
"Qədim, tarixi əlyazma dəyərlidir.",ad ad nn nn
"Geniş, məhsuldar torpaq münbitdir.",ad ad nn ad
"Dərin, sirli okean canlılarla doludur.",ad ad nn nn un
"Sakit, gözəl göl sevildi.",ad ad nn un
"Məşhur, əfsanəvi qəhrəman xatırlanır.",ad ad nn nn
"Böyük, rahat kreslo oxumaq üçündür.",ad ad nn nn nn
"Qədim, dərin quyu susuzluğu yatırdı.",ad ad nn nn nn
"Geniş, təmiz səma sevindirdi.",ad ad nn nn
"Soyuq, şiddətli qar örtdü.",ad ad nn nn
"İsti, yumşaq yorğan rahatlatdı.",ad ad nn nn
"Yüksək, qışqıran müdir qorxutdu.",ad ad nn nn
"Təmiz, şəffaf şüşə göstərdi.",ad ad nn nn
"Qədim, dəyərli sənət muzeydədir.",ad ad nn nn
"Geniş, yaşıl tarla əlverişlidir.",ad ad nn nn
"Sakit, gözəl mənzərə sevindirdi.",ad ad nn nn
"Uzun, dar körpü keçdi.",ad ad nn nn
"Gözəl, zərif güllər dururdu.",ad ad nn nn
"Böyük, rahat kreslo idealdır.",ad ad nn ad
"Kiçik, sevimli heyvan oynadı.",ad ad nn nn
"Sürətli, çevik atlet qazandı.",ad ad nn nn
"Gözəl, ətirli bağ sevindirdi.",ad ad nn nn
"Qədim, gizli yer tapıldı.",ad ad nn nn
"Böyük, güclü maşın getdi.",ad ad nn nn
"Sakit, romantik axşam yaratdı.",ad ad nn nn
"Geniş, mavi səma doludur.",ad ad nn ad
"Soyuq, şiddətli yağış yudu.",ad ad nn nn
"Şirin, dadlı tort sevindirdi.",ad ad nn ad
"Təmiz, şəffaf su sevindirdi.",ad ad nn ad
"Geniş, münbit torpaq verdi.",ad ad nn ad
"Dərin, sakit dəniz doludur.",ad ad nn ad
"Uzun, dar yol aparır.",ad ad nn ad
"Gözəl, zərif güllər oxşayır.",ad ad nn ad
"Böyük, rahat kreslo rahatlatdı.",ad ad nn ad
"Ağıllı, çalışqan tələbə qazandı.",ad ad nn ad
"Sürətli, çevik idmançı qazandı.",ad ad nn ad
"Gözəl, ətirli bağ bəzəyir.",ad ad nn ad
"Qədim, gizli xəzinə tapıldı.",ad ad nn ad
"Rahat, geniş yataq üçündür.",ad ad nn ad
"Şirin, dadlı şirniyyat sevindirdi.",ad ad nn ad
"Təmiz, şəffaf su yatırdı.",ad ad nn ad
"Dərin, sirli okean doludur.",ad ad nn ad
"Uzun, dar tunel idi.",ad ad nn ad
"Gözəl, zərif rəqs etdi.",ad ad nn ad
"Böyük, rahat kreslo üçündür.",ad ad nn ad
"Kiçik, sevimli quş oturdu.",ad ad nn ad
"Ağıllı, bilikli alim qazandı.",ad ad nn ad
"Sürətli, güclü külək əydi.",ad ad nn ad
"Gözəl, parlaq ulduz işıqlandırdı.",ad ad nn ad
"Qədim, dərin quyu yatırdı.",ad ad nn ad
"Böyük, möhtəşəm saray etdi.",ad ad nn ad
"Şirin, ətirli ətir etdi.",ad ad nn ad
"Dost, sadiq və mehriban olmalıdır.",nn ad un ad un
"Sadiq əsgər, qorxmaz idi.",ad nn un ad
"Sadiq əsgərlər, qorxmaz idi.",ad nn un ad
"Cəsur insan, qorxmur.",ad nn un
"Qorxaq insan, gizlənir.",ad nn un
"Xəsis insan, yığır.",ad nn un
"İri alma, dadlıdır.",ad nn un
"Xırda giləmeyvə, turşdur.",ad nn un
"Şirin bal, faydalıdır.",ad nn un
"Turş limon, təravətləndirir.",ad nn un
"Yağlı yemək, zərərlidir.",ad nn un
"Susuz səhra, cansıxıcıdır.",ad nn un
"Uzun izahat, yordu.",ad nn un
"Soyuq baxış, ürkütdü.",ad nn un
"Dərin sevgi, unudulmur.",ad nn un
"Soyuq insan, uzaqlaşdırır.",ad nn un
"İsti münasibət, xoşdur.",ad nn un
"Soyuq rəftar, incidir.",ad nn un
"Uzun məktub, oxundu.",ad nn un
"Dərin mənası olan film, təsirləndirdi.",ad nn un nn un
"Soyuq su, təravətləndirdi.",ad nn un
"Uzun növbə, bezdirdi.",ad nn un
"Qısa saç, yaraşır.",ad nn un
"Uzun saç, dəbdədir.",ad nn un
"Dərin dərə, təhlükəlidir.",ad nn un
"Dayaz çuxur, görünmür.",ad nn un
"İsti güney, günəşlidir.",ad nn un
"Soyuq şimal, buzluqdur.",ad nn un
"Qısa ətək, modadadır.",ad nn un
"Uzun don, zərifdir.",ad nn un
"Dərin qab, böyükdür.",ad nn un
"Dayaz boşqab, kiçikdir.",ad nn un
"Soyuq zal, boşdur.",ad nn un
"Uzun məsafə, yordu.",ad nn un
"Dayaz su, sığdır.",ad nn un
"İsti çörək, dadlıdır.",ad nn un
"Soyuq ayran, təravətləndirir.",ad nn un
"Qısa paltar, zərifdir.",ad nn un
"Uzun şalvar, rahatdır.",ad nn un
"Dərin dəniz, sirrlidir.",ad nn un
"Dayaz çimərlik, əyləncəlidir.",ad nn un
"Soyuq münasibət, uzaqlaşdırır.",ad nn un
"Dərin roman, düşündürdü.",ad nn un
"Dayaz hekayə, unuduldu.",ad nn un
"İsti çay, rahatlaşdırır.",ad nn un
"Soyuq kofe, təravətləndirir.",ad nn un
"Qısa şeir, təsirləndirdi.",ad nn un
"Uzun poema, yordu.",ad nn un
"İsti duş, dincəldir.",ad nn un
"Soyuq hamam, təravətləndirir.",ad nn un
"Uzun səyahət, yordu.",ad nn un
"Dərin öpüş, unudulmazdır.",ad nn un
"İsti günəş, yandırır.",ad nn un
"Soyuq külək, üşüdür.",ad nn un
"Köhnə ev, təmirsizdir.",ad nn un
"Böyük şəhər, sıxdır.",ad nn un
"Adi işçi, çalışır.",ad nn un
"Qorxaq insan, qaçır.",ad nn un
"Savadsız insan, öyrənir.",ad nn un
"Səxavətli insan, bağışlayır.",ad nn un
"Rüşvətxor məmur, haram yeyir.",ad nn nn un
"Tənbəl şagird, geri qalır.",ad nn nn un
"Təmiz hava, sağlamdır.",ad nn un
"Soyuq içki, təravətləndirir.",ad nn un
"Geniş çəmənlik, gözəldir.",ad nn un
"Dərin çay, təhlükəlidir.",ad nn un
"Xırda üzüm, turşdur.",ad nn un
"Şirin qarpız, yayda əladır.",ad nn nn un
"Duzlu pendir, iştah açır.",ad nn nn un
"Turş nar, faydalıdır.",ad nn un
"Yağlı xörək, zərərlidir.",ad nn un
"Sulü yemək, qidalıdır.",ad nn un
"Buludlu hava, yağışlıdır.",ad nn un
"Ay işığı, romantikdir.",nn nn un
"Ulduzlu səma, heyranedicidir.",ad nn un
"İsti yataq, rahatdır.",ad nn un
"Soyuq döşək, narahatdır.",ad nn un
"Sərt oturacaq, narahatdır.",ad nn un
"Pis musiqi, qıcıqlandırır.",ad nn un
"Alçaq ev, kiçikdir.",ad nn un
"Geniş meydan, izdihamlıdır.",ad nn un
"Dar küçə, tıxacdır.",ad nn un
"Qısa saç, dəbdədir.",ad nn un
"Soyuq baxış, incidir.",ad nn un
"Qısa film, maraqlıdır.",ad nn un
"Uzun serial, yorucudur.",ad nn un
"Dərin roman, düşündürür.",ad nn un
"Dayaz hekayə, unudulur.",ad nn un
"Qısa şeir, təsirləndirir.",ad nn un
"Uzun poema, yorucudur.",ad nn un
"Dayaz musiqi, maraqsızdır.",ad nn un
"Uzun səyahət, yorucudur.",ad nn un
"Köhnə velosiped, yavaşdır.",ad nn un
"Gözəl mənzərə, heyranedici idi.",ad nn nn un
"Böyük uğur, təbriklərə layiqdir.",ad nn nn un
"Cəsur hərəkət, təqdirə layiqdir.",ad nn nn un
"Səxavətli əl, kömək edir.",ad nn nn un
"Çalışqan iş, təqdir edilir.",ad nn nn un
"Yüksək dağ, heyranedici idi.",ad nn nn un
"Soyuq baxış, məyus edir.",ad nn nn un
"Dayaz hekayə, yaddan çıxandır.",ad nn nn un
"Qısa gəzinti, enerji verir.",ad nn nn un
"Köhnə ev, ucuzdur.",ad nn un
"Böyük şəhər, izdihamlıdır.",ad nn un
"Kasıb insan, kasaddır.",ad nn un
"Qorxaq insan, qorxuludur.",ad nn un
"Savadsız insan, sadədir.",ad nn un
"Səxavətli insan, comərddir.",ad nn un
"Vicdanlı hakim, ədalətlidir.",ad nn un
"Çalışqan tələbə, ağıllıdır.",ad nn un
"Çirkli su, təhlükəlidir.",ad nn un
"Ucuz məhsul, əlverişlidir.",ad nn un
"Bahalı saat, dəyərlidir.",ad nn un
"Sürətli maşın, risklidir.",ad nn un
"Yavaş qatar, etibarlıdır.",ad nn un
"Soyuq içki, təravətləndiricidir.",ad nn un
"Dar küçə, dardır.",ad nn un
"Dərin çay, dəhşətlidir.",ad nn un
"Dayaz göl, sığdır.",ad nn un
"Yüksək zirvə, çətindir.",ad nn un
"Alçaq təpə, əlçatandır.",ad nn un
"İri alma, böyükdür.",ad nn un
"Xırda üzüm, kiçikdir.",ad nn un
"Şirin qarpız, şirindir.",ad nn un
"Acı bibər, acıdır.",ad nn un
"Duzlu pendir, duzludur.",ad nn un
"Turş nar, turşdur.",ad nn un
"Yağlı xörək, yağlıdır.",ad nn un
"Quru çörək, qurudur.",ad nn un
"Sulü yemək, suludur.",ad nn un
"Aydın səma, aydındır.",ad nn un
"Buludlu hava, buludludur.",ad nn un
"Günəşli gün, günəşlidir.",ad nn un
"Qaranlıq gecə, qaranlıqdır.",ad nn un
"Ay işığı, işıqlıdır.",nn nn un
"Ulduzlu səma, ulduzludur.",ad nn un
"Soyuq döşək, soyuqdur.",ad nn un
"Yumşaq yastıq, yumşaqdır.",ad nn un
"Sərt oturacaq, sərtdir.",ad nn un
"Gözəl səs, gözəldir.",ad nn un
"Pis musiqi, pisdir.",ad nn un
"Yeni, böyük ev, çox rahatdır.",ad ad nn un ad
"Qədim, tarixi qala, əzəmətlə dayanır.",ad ad nn un un
"Mənim, sevimli rəngim, mavidir.",un ad nn ad
"Onun, gözəl səsi, ürəyimi isidir.",un ad nn un un
"Bizim, böyük ailəmiz, bir araya gəldi.",un ad nn un un un
"Sizin, maraqlı fikirləriniz, diqqətimi çəkdi.",un ad nn un un
"Onların, qədim adətləri, hələ də yaşayır.",un ad nn un un un
"O, dar küçə, məni çaşdırdı.",un ad nn un un
"Belə, dərin quyu, təhlükəlidir.",un ad nn ad
"Elə, qısa yol, bizi qurtardı.",un ad nn un un
"Çox, maraqlı film, izlədik.",un ad nn un
"Böyük, ağac kölgəsində, dincəldik.",ad nn un un
"Kiçik, quş səsi, xoşuma gəldi.",ad nn nn un un
"Yeni, bina tikintisi, sürətlə gedir.",ad nn nn un un
"İsti, çay fincanı, əllərimi isidir.",ad nn nn un un
"Mənim, maraqlı səyahətim, başladı.",un ad nn un
"Sənin, gözəl gülüşün, məni ovsunladı.",un ad nn un un
"Onun, qəribə hərəkətləri, məni qorxutdu.",un ad nn un un
"Bizim, böyük arzularımız, var.",un ad nn un
"Sizin, kiçik itiniz, çox şirindir.",un ad nn un ad
"Yeni, avtomobil salonu, açıldı.",ad nn nn un
"Qədim, xalça naxışları, gözəldir.",ad nn nn ad
"İsti, yay günləri, dənizə aparır.",ad nn nn un un
"Maraqlı, hekayə danışıldı, uşaqlar tərəfindən.",ad nn un un un
"Uzaq, səfər gözləyir, bizi.",ad nn un un
"Dərin, düşüncə aparır, məni.",ad nn un un
"Yeni, iş təklifi, aldım.",ad nn nn un
"İsti, ölkə səfəri, planlaşdırılır.",ad nn nn un
"Maraqlı, oyun oynayırıq, birlikdə.",ad nn un un
"Gözəl, mahnı oxuyur, o.",ad nn un un
"Sərin, bulaq suyu, canlandırır.",ad nn nn un
"Şirin, meyvə dadı, xoşdur.",ad nn nn ad
"Turş, limon yeyirəm, bəzən.",ad nn un un
"Duzlu, qoz sevmirəm, mən.",ad nn un un
"Böyük, şəhər mərkəzi, izdihamlıdır.",ad nn nn ad
"Kiçik, kənd həyatı, sakitdir.",ad nn nn ad
"Uzaq, ada səyahəti, arzulayıram.",ad nn nn un
"Dərin, göl suları, soyuqdur.",ad nn nn ad
"Yeni, mobil telefon, aldım.",ad nn nn un
"Maraqlı, söhbət edirik, dostlarla.",ad nn un un
"Gözəl, paltar geyinmişdi, o.",ad nn un un
"Qəribə, baxışla süzdü, məni.",ad nn un un
"Kiçik, hədiyyə almışdı, mənə.",ad nn un un
"Dərin, hörmət bəsləyirəm, ona.",ad nn un un
"Yeni, qonşu köçüb, binamıza.",ad nn un un
"Qədim, əlyazma tapıldı, kitabxanada.",ad nn un un
"Maraqlı, təcrübə apardıq, laboratoriyada.",ad nn un un
"Gözəl, rəqs etdi, səhnədə.",ad nn un un
"Böyük, uğur qazandı, yarışmada.",ad nn un un
"Sərin, meşə havası, təmizləyir.",ad nn nn un
"Turş, nar şirəsi, xoşuma gəlir.",ad nn nn un un
"Duzlu, pendir yeyirəm, tez-tez.",ad nn un un
"Zərif, çiçək açmışdı, budaqda.",ad nn un un
"İri, meyvə yetişmişdi, ağacda.",ad nn un un
"Yavaş, hərəkət sakitləşdirir, sinirləri.",ad nn un un
"Bağlı, pəncərə küçədən gələn səsi, kəsir.",ad nn un un nn un
"Təmiz, hava sağlamlıq üçün, vacibdir.",ad nn nn un ad
"Əyri, küçə çaşdırır, turistləri.",ad nn un un
"Yüksək, qiymət müştəriləri, qorxudur.",ad nn nn un
"Əla, fikir səsləndirdi, o.",ad nn un un
"Dərin, okean sirlərlə, doludur.",ad nn un un
"Yeni, avtomobil aldım, dünən.",ad nn un un
"Turş, alça yeyirəm, bəzən.",ad nn un un
"Duzlu, balıq yeyirəm, hərdən.",ad nn un un
"Geniş, sahə əkilmişdi, taxılla.",ad nn un un
"Açıq, qapı buraxır, təmiz hava.",ad nn un ad nn
"Yavaş, gəzdim, parkda.",ad un un
"Bağlı, pəncərə saxlayır, səsi.",ad nn un nn
"Yavaş, addımladım, parkda.",ad un un
"Yavaş, getdim, yolda.",ad un un
Sürətli avtomobil yarışa başladı.,ad nn un un
Soyuq su canlandırıcıdır.,ad nn un
Qısa film festivalı başladı.,ad nn nn un
Əski dostlar yenidən görüşdülər.,ad nn un un
Gecə səması ulduzlarla doludur.,nn nn un un
Yüksək bina mənzərəni dəyişir.,ad nn nn un
"Mənim sevimli rəngim, mavi rəngdir.",un un nn nn ad
"Bu, kiçik bir bağdır.",un ad un nn
Qara pişik evə girdi.,ad nn nn un
Sakit gecə hüzur verir.,ad nn nn un
Qədim kitab tarixə işıq salır.,ad nn nn un un
Yeni evimiz hazırdır.,ad nn un
Böyük ağacımız budaqlarını salladı.,ad nn un un
"Mənim qardaşım, ağıllı uşaqdır.",un nn ad nn
Sürətli maşın qəza törətdi.,ad nn nn un
Böyük qayıq dənizdə üzür.,ad nn nn un
Gözəl gül ətirlənir.,ad nn un
Uzaq səfər macəralarla doludur.,ad nn nn un
"Mənim bacım, gözəl rəssamdır.",un nn ad nn
Qara buludlar yağışı gətirdi.,ad nn nn un
Uzun müddətli dostluq qorunmalıdır.,ad nn un un
Yeni layihə uğurlu oldu.,ad nn ad un
